[Year],[Month],[geo],[GeoName],[COICOP],[COICOP_Name],[Value]
2015,9,EU27_2020,EU,CP00,All-items HICP,100.24
2015,9,EU27_2020,EU,CP01,Food & non-alcoholic beverages,99.77
2015,9,EU27_2020,EU,CP03,Clothing & footwear,103.47
2015,9,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",99.81
2015,9,EU27_2020,EU,CP05,Furnishings & household equipment,100.14
2015,9,EU27_2020,EU,CP07,Transport,99.24
2015,9,EU27_2020,EU,CP10,Education,100.08
2015,9,EU27_2020,EU,CP11,Restaurants & hotels,100.78
2015,10,EU27_2020,EU,CP00,All-items HICP,100.35
2015,10,EU27_2020,EU,CP01,Food & non-alcoholic beverages,100.19
2015,10,EU27_2020,EU,CP03,Clothing & footwear,105.49
2015,10,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",99.84
2015,10,EU27_2020,EU,CP05,Furnishings & household equipment,100.26
2015,10,EU27_2020,EU,CP07,Transport,98.86
2015,10,EU27_2020,EU,CP10,Education,100.91
2015,10,EU27_2020,EU,CP11,Restaurants & hotels,100.58
2015,11,EU27_2020,EU,CP00,All-items HICP,99.97
2015,11,EU27_2020,EU,CP01,Food & non-alcoholic beverages,100.1
2015,11,EU27_2020,EU,CP03,Clothing & footwear,105.62
2015,11,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",99.88
2015,11,EU27_2020,EU,CP05,Furnishings & household equipment,100.31
2015,11,EU27_2020,EU,CP07,Transport,98.46
2015,11,EU27_2020,EU,CP10,Education,100.94
2015,11,EU27_2020,EU,CP11,Restaurants & hotels,99.62
2015,12,EU27_2020,EU,CP00,All-items HICP,99.97
2015,12,EU27_2020,EU,CP01,Food & non-alcoholic beverages,99.84
2015,12,EU27_2020,EU,CP03,Clothing & footwear,104.19
2015,12,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",99.55
2015,12,EU27_2020,EU,CP05,Furnishings & household equipment,100.45
2015,12,EU27_2020,EU,CP07,Transport,98.11
2015,12,EU27_2020,EU,CP10,Education,100.92
2015,12,EU27_2020,EU,CP11,Restaurants & hotels,99.98
2016,1,EU27_2020,EU,CP00,All-items HICP,98.71
2016,1,EU27_2020,EU,CP01,Food & non-alcoholic beverages,100.12
2016,1,EU27_2020,EU,CP03,Clothing & footwear,90.2
2016,1,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",99.04
2016,1,EU27_2020,EU,CP05,Furnishings & household equipment,99.83
2016,1,EU27_2020,EU,CP07,Transport,96.7
2016,1,EU27_2020,EU,CP10,Education,101.08
2016,1,EU27_2020,EU,CP11,Restaurants & hotels,99.76
2016,2,EU27_2020,EU,CP00,All-items HICP,98.85
2016,2,EU27_2020,EU,CP01,Food & non-alcoholic beverages,100.23
2016,2,EU27_2020,EU,CP03,Clothing & footwear,90.89
2016,2,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",98.86
2016,2,EU27_2020,EU,CP05,Furnishings & household equipment,100.11
2016,2,EU27_2020,EU,CP07,Transport,96.17
2016,2,EU27_2020,EU,CP10,Education,101.11
2016,2,EU27_2020,EU,CP11,Restaurants & hotels,100.19
2016,3,EU27_2020,EU,CP00,All-items HICP,99.89
2016,3,EU27_2020,EU,CP01,Food & non-alcoholic beverages,100.43
2016,3,EU27_2020,EU,CP03,Clothing & footwear,103.33
2016,3,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",99.02
2016,3,EU27_2020,EU,CP05,Furnishings & household equipment,100.39
2016,3,EU27_2020,EU,CP07,Transport,96.92
2016,3,EU27_2020,EU,CP10,Education,101.13
2016,3,EU27_2020,EU,CP11,Restaurants & hotels,100.74
2016,4,EU27_2020,EU,CP00,All-items HICP,100.12
2016,4,EU27_2020,EU,CP01,Food & non-alcoholic beverages,100.65
2016,4,EU27_2020,EU,CP03,Clothing & footwear,105.78
2016,4,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",98.61
2016,4,EU27_2020,EU,CP05,Furnishings & household equipment,100.46
2016,4,EU27_2020,EU,CP07,Transport,97.6
2016,4,EU27_2020,EU,CP10,Education,101.18
2016,4,EU27_2020,EU,CP11,Restaurants & hotels,101.22
